vin,marca,modelo,año,país_origen,color,fecha_ultimo_dano,tipo_incidente,coste_estimado,gravedad,partes_afectadas,lectura_km,fecha_ultimo_itv,resultado_itv,observaciones
KY8SNMU0URACN8D4R,Nissan,Modelo1,2023,Japón,Rojo,,,,,,44876,2023-07-25,Desfavorable,Frenos OK
MD0282YZP09JZFPUP,Renault,Modelo2,2013,Japón,Gris,2017-05-25,Accidente grave,3536.06,Media,Laterales,121374,2023-11-30,Desfavorable,Fugas leves de aceite
2ZBBEZX21LH34BUGB,Citroen,Modelo3,2019,Alemania,Blanco,2022-03-21,Accidente grave,10316.65,,Motor,85788,2023-10-11,Favorable,Fugas leves de aceite
G06NWJ0Z2R08JMJ6D,Ford,Modelo3,2017,Alemania,Gris,2024-03-02,Daño menor,2779.67,Leve,Capó,22890,2020-04-11,Favorable,Frenos OK
K9WN94A6E4PYWKM1S,Nissan,Modelo2,2021,España,Azul,,,,,,162945,2022-11-16,Desfavorable,Sin defectos
S97NHLVLFEWGR6UVW,Citroen,Modelo3,2020,España,Blanco,2017-10-20,Impacto frontal,5927.06,Leve,Parachoques,35248,2024-06-18,Desfavorable,Sin defectos
15EHCSGP4X4KYX4Y3,Renault,Modelo2,2023,España,Blanco,2019-01-06,,11658.69,Media,,115989,2020-01-29,Favorable,Luces dañadas
8KVK2TKG5UW2U7THS,Ford,Modelo1,2017,Italia,Negro,2024-05-30,Daño menor,7746.95,Grave,Laterales,129500,2021-03-28,Desfavorable,Sin defectos
KY1D91MK05K4UKCFE,Citroen,Modelo2,2012,Alemania,Rojo,2018-01-23,Daño por granizo,5006.72,Grave,,131036,2023-04-25,Favorable,Frenos OK
Y1UG4SCFRSL8421G4,Toyota,Modelo3,2019,Japón,Blanco,2019-12-10,Accidente grave,3370.52,Grave,,25343,2020-08-27,Favorable,Frenos OK
FDYW8NDWWFU2BX1GR,Hyundai,Modelo3,2010,Italia,Rojo,2020-07-31,Daño menor,4736.25,,Parachoques,31144,2020-01-17,Desfavorable,Fugas leves de aceite
5HE5X6FZML9ZG9U7U,Audi,Modelo2,2019,Italia,Blanco,2024-10-10,Daño menor,9592.16,Leve,,126108,2023-01-01,Favorable,Fugas leves de aceite
GFT7MWGHMKL72WN2D,Volkswagen,Modelo2,2016,Francia,Rojo,,,,,,164476,2023-12-13,Desfavorable,Fugas leves de aceite
KRPRXKTHK7KYP9VX1,Hyundai,Modelo3,2023,España,Rojo,,,,,,52961,2020-01-25,Favorable,Frenos OK
SCHVZ4J95DZ7RNMMD,BMW,Modelo3,2020,Alemania,Negro,2017-10-31,Accidente grave,11769.01,,Puertas,114892,2022-02-01,Favorable,Sin defectos
CT0VYLG5XFTAEJ2M5,Toyota,Modelo3,2022,Japón,Blanco,2020-03-14,Impacto frontal,3104.91,Leve,Puertas,46077,2020-07-01,Favorable,Frenos OK
VFDBUKR0B6C4S9GG8,Nissan,Modelo3,2012,España,Blanco,2023-08-22,Daño por granizo,5688.2,Grave,,188003,2021-07-16,Desfavorable,Luces dañadas
V1M35DTFDP4FKNFNM,Seat,Modelo3,2015,España,Azul,2016-04-21,Impacto frontal,3220.52,Media,Motor,140493,2023-04-06,Desfavorable,Luces dañadas
21FMKMU21USL7RVZM,Honda,Modelo2,2016,Japón,Negro,,,,,,136785,2022-06-12,Favorable,Sin defectos
B1ZW891EZMR1CUWK9,Peugeot,Modelo3,2023,Alemania,Blanco,2016-04-10,Impacto frontal,8954.14,Media,Parachoques,177723,2021-02-21,Desfavorable,Fugas leves de aceite
62JFJGMX46AFTYR2B,Nissan,Modelo1,2018,Italia,Negro,,,,,,198406,2024-11-06,Desfavorable,Frenos OK
2N5EG3BCX69YCHMNA,Opel,Modelo2,2021,España,Blanco,2024-06-23,Daño por granizo,4448.16,Media,Capó,71662,2021-12-27,Desfavorable,Frenos OK
M42LR6GDLR5KHMVN9,Renault,Modelo1,2018,Alemania,Blanco,2020-01-12,Accidente grave,9156.54,,Capó,168020,2022-06-12,Desfavorable,Sin defectos
B68H2X4S9ZTUDZVFN,Hyundai,Modelo2,2010,Francia,Gris,,,,,,181474,2021-03-28,Desfavorable,Frenos OK
DBNKFRXX808V9GDZR,Audi,Modelo1,2013,Alemania,Rojo,2018-12-05,Daño menor,8721.32,Media,Puertas,77832,2022-07-16,Favorable,Luces dañadas
ZATGLCXY5TF75ZUR0,Ford,Modelo2,2014,Japón,Negro,,,,,,157642,2022-06-27,Favorable,Sin defectos
UG7ANZP29XCCY6S55,Mazda,Modelo2,2019,Francia,Azul,2016-04-08,Daño menor,11053.99,Leve,Puertas,154186,2024-05-30,Desfavorable,Sin defectos
RESJW9FE6LZRKP5T9,Honda,Modelo3,2017,Italia,Blanco,2019-08-19,Impacto frontal,8208.13,Media,Laterales,125828,2022-08-06,Favorable,Luces dañadas
TB7APMM20M40FVXA2,Toyota,Modelo3,2010,Alemania,Negro,,,,,,67897,2024-09-23,Desfavorable,Sin defectos
G8MAUW4KZPKUERKC4,Mazda,Modelo2,2010,Italia,Gris,2016-03-17,Accidente grave,4195.97,,,110372,2022-05-03,Desfavorable,Sin defectos
PX4S4PV9C23N5U001,BMW,Modelo3,2011,España,Azul,,,,,,155883,2020-04-25,Desfavorable,Sin defectos
R3EJS8Y5MW5B8KXUX,Nissan,Modelo1,2010,Francia,Negro,2020-03-18,Accidente grave,14194.65,,Capó,75562,2020-01-25,Desfavorable,Sin defectos
U34ZJ310M88G49VJ3,Nissan,Modelo2,2015,Japón,Azul,,,,,,102603,2023-10-05,Favorable,Luces dañadas
4MD1BLG19A58ENLPJ,Seat,Modelo3,2016,Italia,Rojo,2016-11-13,,603.13,Leve,Capó,175514,2024-09-16,Favorable,Frenos OK
DMCEBS0DHE16441RM,Seat,Modelo3,2012,Francia,Azul,2021-07-30,Daño por granizo,10576.51,Leve,Puertas,8154,2024-03-08,Favorable,Frenos OK
S9DF7GTL3E0HWNZSG,Audi,Modelo2,2013,Alemania,Gris,2017-04-22,Daño menor,14205.13,Grave,Puertas,96456,2020-03-23,Desfavorable,Fugas leves de aceite
5J6WDG4T26VADYDBX,Honda,Modelo2,2020,Alemania,Gris,2024-10-12,,14094.34,Media,,33434,2023-04-22,Favorable,Sin defectos
KPPT6T1FYTN7KJ069,Renault,Modelo3,2017,Japón,Gris,2022-12-29,Daño menor,11890.24,,,180823,2022-07-03,Favorable,Sin defectos
9ZJATC1C81LL0C932,Mazda,Modelo3,2023,Italia,Azul,2020-06-10,Impacto frontal,11738.52,Grave,,182838,2022-11-04,Favorable,Sin defectos
AC10M2W35PREW3AXW,Nissan,Modelo2,2023,Japón,Gris,,,,,,63261,2024-02-14,Desfavorable,Fugas leves de aceite
XZAZ53BTM6DJTNFFN,Nissan,Modelo3,2016,Japón,Gris,,,,,,38489,2022-08-04,Desfavorable,Fugas leves de aceite
2MY7AD17GBRMXR41J,Renault,Modelo1,2021,Alemania,Rojo,,,,,,175870,2023-06-02,Desfavorable,Fugas leves de aceite
2K6BCENSRXNP5UC5J,Opel,Modelo1,2022,Alemania,Negro,2020-05-07,Daño menor,6857.83,Media,Laterales,129841,2020-11-23,Favorable,Fugas leves de aceite
X1PW8NPX56MP9UDP9,Seat,Modelo2,2010,Japón,Rojo,,,,,,179484,2023-10-09,Favorable,Luces dañadas
HL9E8ECLTP9DPXX73,Renault,Modelo1,2016,España,Blanco,2015-03-25,Daño por granizo,3023.04,Media,Laterales,45168,2021-11-19,Desfavorable,Luces dañadas
4Y3CTA8YMKSP788RU,Seat,Modelo3,2013,Japón,Gris,2017-05-18,,2330.31,Grave,Parachoques,168331,2020-01-06,Favorable,Fugas leves de aceite
36VSC82YP1Z3BM8A7,Citroen,Modelo3,2018,Francia,Azul,,,,,,78932,2020-08-30,Desfavorable,Fugas leves de aceite
PH4LJ50VWKEB8DLC8,Peugeot,Modelo2,2019,Alemania,Azul,2024-04-24,,10828.97,Media,Capó,152371,2024-09-29,Favorable,Frenos OK
7E5016APNXREVH1R2,Fiat,Modelo2,2022,Francia,Negro,,,,,,84417,2024-12-27,Desfavorable,Sin defectos
73KWWB7D3ULM0RK04,Fiat,Modelo1,2020,Francia,Negro,2016-05-09,Daño menor,8212.65,Grave,Laterales,132150,2023-09-01,Desfavorable,Frenos OK
V5SLEFMNG22UJZZZS,BMW,Modelo3,2022,Japón,Rojo,2023-11-07,Accidente grave,13873.95,Leve,Parachoques,94203,2023-05-12,Desfavorable,Luces dañadas
NR5F622N7MT7XT09F,Mazda,Modelo3,2011,Japón,Blanco,2015-06-06,Daño menor,13110.77,Grave,Motor,60364,2024-02-16,Favorable,Luces dañadas
3WNXYEAKEJ6J169Z8,Volkswagen,Modelo3,2022,Alemania,Rojo,2022-03-05,,9121.91,Leve,Parachoques,19113,2024-09-11,Desfavorable,Frenos OK
UJ8BUVD5LX8D76P8B,Nissan,Modelo3,2022,Italia,Blanco,2023-05-23,Impacto frontal,11861.85,Grave,Parachoques,102720,2023-06-29,Desfavorable,Luces dañadas
H5UGVJBMGBARYKSVF,Volkswagen,Modelo3,2014,España,Negro,2024-01-15,Accidente grave,542.0,,Laterales,43621,2020-04-25,Favorable,Sin defectos
7HBAL82BF349CG4HF,Ford,Modelo1,2024,España,Gris,2016-01-01,Daño por granizo,8400.7,Grave,Motor,37193,2021-10-23,Desfavorable,Fugas leves de aceite
NG9C1GKV5PMT5EE4J,Fiat,Modelo2,2017,Italia,Rojo,2022-10-16,Impacto frontal,12621.82,,,172183,2022-07-08,Desfavorable,Luces dañadas
VC03VAKBWJ21DJ0F9,Nissan,Modelo1,2017,Francia,Azul,2023-07-01,Daño por granizo,3879.28,Grave,Capó,190970,2022-10-14,Desfavorable,Fugas leves de aceite
78V104XYWSANCW5J6,Ford,Modelo1,2018,Alemania,Rojo,2024-08-18,,3098.94,Grave,Parachoques,141986,2021-03-04,Desfavorable,Frenos OK
W03V0RSV83U9T0BTU,Ford,Modelo1,2021,Francia,Blanco,,,,,,92906,2024-09-02,Desfavorable,Luces dañadas
2CNTJ21BBFGTCCTTU,Citroen,Modelo2,2024,España,Negro,2018-11-16,,11953.79,Grave,Puertas,144653,2022-07-21,Favorable,Sin defectos
01CK47Z2MUEX3H23F,Nissan,Modelo3,2019,Francia,Azul,2018-05-05,Daño menor,1072.18,Grave,,27074,2024-06-24,Favorable,Sin defectos
EE0KAW733SHC7RUNM,Opel,Modelo1,2011,Alemania,Gris,,,,,,194587,2022-09-06,Desfavorable,Fugas leves de aceite
BT2FMWWTMLZGLS29C,Toyota,Modelo1,2014,Japón,Blanco,,,,,,12198,2020-11-02,Desfavorable,Luces dañadas
CD6LNRGMYKEW0M12H,Mazda,Modelo1,2014,Italia,Blanco,2018-02-07,Impacto frontal,5067.23,,Motor,39484,2022-02-27,Desfavorable,Fugas leves de aceite
FUCBL50U22KBZ9WK3,Seat,Modelo1,2014,Italia,Gris,,,,,,63212,2022-06-10,Desfavorable,Fugas leves de aceite
X590WHE50A09D4VM0,Audi,Modelo1,2016,Alemania,Gris,,,,,,107629,2020-01-02,Desfavorable,Frenos OK
U7BZ5RGPMWX6WPZBT,Peugeot,Modelo3,2014,Italia,Rojo,2024-01-16,Accidente grave,14577.1,Media,,75579,2023-11-26,Favorable,Fugas leves de aceite
EZH4PAEPWVNJ2YPEX,Citroen,Modelo3,2024,Alemania,Negro,,,,,,82182,2023-08-07,Favorable,Frenos OK
UF881AY537P4VLWCJ,BMW,Modelo3,2020,Alemania,Rojo,2024-11-22,,13076.95,Leve,Capó,70345,2024-06-27,Desfavorable,Frenos OK
8R3DN3FMZFEFLTFAA,Toyota,Modelo1,2024,España,Azul,,,,,,187797,2022-02-02,Favorable,Sin defectos
GNAADFPHX7WK7M4LD,Fiat,Modelo1,2023,Alemania,Azul,2016-02-09,,14171.66,,,180135,2023-06-28,Desfavorable,Frenos OK
F6HJ7L8GK2PFL0N3Z,Toyota,Modelo1,2024,Alemania,Rojo,,,,,,185188,2021-10-07,Desfavorable,Frenos OK
5WG23GHNLRN2UJVW0,Nissan,Modelo1,2020,Francia,Blanco,2017-09-17,Accidente grave,4970.53,Grave,Motor,48794,2023-04-25,Favorable,Fugas leves de aceite
4415MX5W3DZ3CG9YT,Citroen,Modelo2,2021,Japón,Azul,,,,,,165710,2020-02-23,Desfavorable,Luces dañadas
2YS8JMTC0Z312CMNY,Honda,Modelo3,2021,Japón,Gris,2016-06-26,,9395.96,Leve,,88257,2023-04-09,Desfavorable,Luces dañadas
6TZ7AYDW4JTM7BR3K,Volkswagen,Modelo2,2021,España,Rojo,2019-09-04,Impacto frontal,8334.62,,Parachoques,26336,2024-06-29,Favorable,Frenos OK
2XRP06RNE635XU92K,Toyota,Modelo1,2023,España,Blanco,2020-01-20,,2120.0,Media,,10384,2021-02-20,Desfavorable,Frenos OK
J7CE28CNXFXZXVLRE,Mazda,Modelo3,2013,Italia,Rojo,2018-03-16,Accidente grave,7317.05,Media,Laterales,184743,2022-06-06,Desfavorable,Sin defectos
JASCVA84ERRF4JFKV,BMW,Modelo1,2024,España,Rojo,2023-09-27,Daño por granizo,8834.3,,Motor,48121,2022-05-19,Favorable,Luces dañadas
5J4YTY3G0SMN1XU40,Hyundai,Modelo3,2010,Japón,Rojo,2020-09-07,Impacto frontal,5785.28,Leve,,127066,2021-06-11,Desfavorable,Sin defectos
GSK7M3844V51G1K86,Peugeot,Modelo1,2014,Japón,Blanco,,,,,,20109,2024-11-11,Desfavorable,Sin defectos
E0TEME00KHVHUNXKY,Mazda,Modelo1,2023,Alemania,Rojo,2020-02-07,Daño menor,1085.71,Leve,Capó,70523,2023-11-08,Favorable,Fugas leves de aceite
GB73741DDGU5C3UKV,Toyota,Modelo1,2023,Japón,Blanco,2021-05-06,Daño menor,4420.57,Media,Puertas,183131,2020-11-20,Desfavorable,Luces dañadas
JS7Z97EGR2Y1VPV5F,Seat,Modelo2,2016,Italia,Negro,,,,,,63485,2020-03-10,Desfavorable,Frenos OK
P3NCRE5LV8XAYC8GZ,Mazda,Modelo3,2022,Japón,Azul,2015-12-20,,5407.89,Grave,Laterales,55495,2021-09-02,Favorable,Frenos OK
LZ8DFRE5C4T0W0P39,Seat,Modelo1,2016,España,Rojo,,,,,,118204,2021-11-04,Desfavorable,Fugas leves de aceite
4275BYYAK9UHMHUMW,BMW,Modelo1,2023,Italia,Rojo,2019-04-21,Accidente grave,6984.56,Media,Parachoques,57034,2023-05-18,Desfavorable,Fugas leves de aceite
NCY3R2TPFNVZ1JAV8,Audi,Modelo2,2022,España,Negro,,,,,,114124,2023-11-11,Favorable,Fugas leves de aceite
RMTX33Y9CD6CMSAM2,Renault,Modelo1,2014,Japón,Azul,2019-06-24,Impacto frontal,5867.7,Grave,Laterales,155280,2023-12-18,Desfavorable,Frenos OK
PGGRSL9C30X94S62D,Hyundai,Modelo1,2015,Francia,Blanco,2023-09-21,Impacto frontal,3257.88,,Laterales,57594,2021-03-02,Favorable,Sin defectos
R1VLWTTVT56TBU3SA,Toyota,Modelo1,2024,Italia,Azul,2023-07-05,Accidente grave,994.39,,Capó,15362,2024-04-25,Desfavorable,Luces dañadas
2XE8U97BB1ZD69BVE,Opel,Modelo3,2021,Alemania,Rojo,2018-08-03,Daño menor,3007.69,,Capó,198011,2021-02-08,Favorable,Frenos OK
G6WYD6PXG5AN5DFWS,Nissan,Modelo2,2022,Italia,Azul,2021-12-15,Daño por granizo,5149.93,Media,,142325,2020-11-21,Favorable,Frenos OK
0LZK9TL8Y1Y1GH19Z,Seat,Modelo2,2021,Francia,Rojo,2022-08-11,Impacto frontal,12369.81,Grave,Capó,186435,2020-05-06,Favorable,Fugas leves de aceite
7GCGTV662ELELNV0K,Kia,Modelo1,2015,Italia,Azul,2022-01-26,Daño menor,3752.41,Leve,Parachoques,185174,2022-06-13,Favorable,Sin defectos
TZLZ3VGJ91V32NX48,Seat,Modelo3,2010,Italia,Rojo,,,,,,130116,2020-09-01,Favorable,Luces dañadas
ENV8CG76EPZ8RRLFM,Volkswagen,Modelo2,2011,Italia,Azul,2022-10-17,Accidente grave,10653.48,Leve,Parachoques,16525,2021-07-03,Favorable,Sin defectos
U9P4GVRNSSNS7RHG4,Volkswagen,Modelo2,2016,Alemania,Gris,2022-12-07,Daño por granizo,10542.06,,Parachoques,176065,2023-04-13,Favorable,Luces dañadas
RHXRSFFDYXJTVWKD5,Citroen,Modelo1,2011,Francia,Azul,,,,,,156455,2021-06-19,Favorable,Luces dañadas
H38GL1N78N6WNFMDK,Nissan,Modelo3,2015,Francia,Blanco,,,,,,184761,2020-07-03,Favorable,Sin defectos
NKCAW7ESZBT0G8DDX,Mazda,Modelo1,2024,España,Blanco,2019-06-27,,12334.02,Media,Laterales,58177,2022-07-19,Desfavorable,Frenos OK
SLF9WMDBWMU0H12JM,Toyota,Modelo2,2013,Alemania,Rojo,,,,,,130948,2020-10-30,Desfavorable,Frenos OK
XEAZPG7JCCZMU4VB6,Hyundai,Modelo2,2024,Italia,Azul,2023-12-18,Daño por granizo,5695.07,Media,Puertas,118279,2023-12-25,Favorable,Fugas leves de aceite
XHZP2BRT0AR9UNNG9,Seat,Modelo2,2023,Francia,Gris,,,,,,44882,2021-06-27,Desfavorable,Frenos OK
ABRL6MBJ1A7354PJN,Peugeot,Modelo1,2015,Italia,Rojo,2020-02-16,Daño por granizo,11247.54,Leve,Motor,27604,2022-08-13,Favorable,Fugas leves de aceite
FPJ8ZWKDPZ1LJ26J9,Nissan,Modelo3,2013,Italia,Azul,2016-07-29,Daño por granizo,11451.35,Grave,Puertas,34246,2024-04-19,Favorable,Luces dañadas
346DXGSYUP2MWMSMA,Mazda,Modelo1,2019,Italia,Blanco,2024-09-14,Daño menor,14224.84,,Laterales,111937,2024-11-09,Desfavorable,Fugas leves de aceite
YU04MMD6X1EF13FRV,Nissan,Modelo3,2018,Japón,Negro,,,,,,119415,2024-05-11,Desfavorable,Fugas leves de aceite
JMDYPH64EEF6GAE32,Citroen,Modelo3,2019,España,Gris,2021-07-16,Daño menor,3707.59,Media,Puertas,115397,2024-08-19,Favorable,Fugas leves de aceite
0TV7E3UV6K4R88WCA,Hyundai,Modelo2,2021,Alemania,Gris,,,,,,95426,2022-05-13,Favorable,Luces dañadas
NJ53SFS0A10S1W4X9,Citroen,Modelo2,2013,Alemania,Negro,2024-02-13,Daño por granizo,3510.37,Media,Laterales,32157,2023-07-18,Favorable,Sin defectos
0ETSH9VCMS50D7RWG,Citroen,Modelo2,2022,Japón,Rojo,2016-05-28,Impacto frontal,4743.98,Media,,73287,2022-12-12,Desfavorable,Frenos OK
K8PD1YFE82NEDDW1F,Honda,Modelo2,2015,Francia,Rojo,2018-12-26,Daño por granizo,6819.22,Media,Parachoques,15252,2024-01-22,Favorable,Luces dañadas
YPVRTBRV7ERZU8S93,Renault,Modelo2,2016,España,Rojo,2016-01-07,,4987.6,Leve,Motor,165051,2024-04-15,Favorable,Luces dañadas
2VN2UGPKZSJ1865XT,Honda,Modelo2,2012,Italia,Blanco,2024-01-28,Accidente grave,10668.64,Leve,Motor,193301,2023-11-25,Desfavorable,Sin defectos
9ENYN8EUC5WVEMGWK,Fiat,Modelo3,2011,Francia,Gris,2018-11-13,Daño por granizo,8057.51,,Capó,179990,2022-04-18,Desfavorable,Luces dañadas
252BUV7KYWEFTS2ZC,Fiat,Modelo3,2013,España,Negro,2019-07-05,Accidente grave,5760.93,Media,Parachoques,140097,2024-11-19,Desfavorable,Frenos OK
E6E6AJTCPGDCR6V2S,Citroen,Modelo2,2021,España,Rojo,,,,,,5231,2024-10-26,Desfavorable,Luces dañadas
5YYYNPC6XTJ0LZH99,Volkswagen,Modelo2,2023,Japón,Azul,2017-08-14,Daño por granizo,2111.56,Grave,Parachoques,43306,2023-04-15,Desfavorable,Fugas leves de aceite
46CUSA8UDPCXCA5EZ,Hyundai,Modelo2,2012,Alemania,Rojo,,,,,,175332,2023-12-29,Desfavorable,Fugas leves de aceite
DK6CNSFG0KWPGSZUX,Seat,Modelo1,2011,Japón,Gris,2020-09-18,Daño menor,10310.75,Grave,Laterales,133019,2020-10-05,Desfavorable,Fugas leves de aceite
NGP542DTF22X8JAZA,Fiat,Modelo2,2016,Italia,Blanco,2017-09-04,Daño menor,1316.85,Grave,Laterales,63032,2021-09-01,Favorable,Sin defectos
7CDR76JPEYX5VL20A,Volkswagen,Modelo3,2016,Alemania,Rojo,2023-04-30,Accidente grave,5612.93,,Motor,135678,2022-04-24,Favorable,Fugas leves de aceite
MF90RKKJ4G5PKRPJH,Honda,Modelo3,2024,España,Negro,,,,,,175821,2020-03-15,Desfavorable,Fugas leves de aceite
J00ZTYMCDZYCUVW9U,Peugeot,Modelo1,2019,España,Gris,2017-01-16,Daño menor,6382.0,,,19260,2022-08-26,Favorable,Frenos OK
K866WLWU883LKT2S5,Hyundai,Modelo3,2017,Francia,Negro,2015-02-24,,1856.96,Media,Capó,100983,2021-12-15,Favorable,Fugas leves de aceite
0W1CP56N1M5E04ED7,Kia,Modelo3,2023,Italia,Blanco,,,,,,146361,2020-12-03,Favorable,Frenos OK
4CNAU51J530WC0P0K,Peugeot,Modelo3,2022,Italia,Blanco,2015-12-05,Daño menor,2133.26,Media,Capó,98401,2024-05-07,Favorable,Fugas leves de aceite
705K0SPWJE3SC5APH,Mazda,Modelo1,2018,Japón,Negro,2021-06-12,Accidente grave,4057.32,Media,Puertas,26026,2024-07-12,Desfavorable,Luces dañadas
