id,matricula,marca,modelo,anio_small
671,3941BFM,Nissan,Modelo,2018
672,6730PNW,Audi,Modelo,2015
673,8262YKM,BMW,Modelo,2016
674,6435KCF,Renault,Megane,2011
675,9732ZPW,Opel,Modelo,2015
676,6025RFC,Fiat,Modelo,2019
677,1371MFB,Renault,Scenic,2012
678,7068ZDH,Kia,Modelo,2017
679,4702DXD,Honda,Modelo,2024
680,7175JCJ,Honda,Modelo,2015
681,5689GDM,Nissan,Modelo,2011
682,9789HJB,Honda,Modelo,2023
683,9590WYX,Peugeot,Modelo,2013
684,2275TCB,Honda,Modelo,2015
685,2940VSG,BMW,Modelo,2021
686,4466NZK,Kia,Modelo,2018
687,6940RPX,Fiat,Modelo,2010
688,8201LCG,Nissan,Modelo,2015
689,6317HBP,Ford,Fiesta,2014
690,2421VRD,Peugeot,Modelo,2024
691,5926YGK,Seat,Ibiza,2015
692,9226LJM,Peugeot,Modelo,2019
693,6782TXW,Audi,Modelo,2024
694,7998TZZ,Audi,Modelo,2024
695,8034LLJ,Toyota,C-HR,2018
696,7394RBJ,Ford,Mondeo,2021
697,9539DXL,Honda,Modelo,2019
698,5491PCG,Volkswagen,Tiguan,2012
699,2577NFP,BMW,Modelo,2013
700,1838MXM,Fiat,Modelo,2013
701,4464JSF,Fiat,Modelo,2016
702,1100ZWM,Audi,Modelo,2011
703,5585FZK,Hyundai,Modelo,2016
704,7267WNW,BMW,Modelo,2010
705,6718XXR,Volkswagen,Passat,2021
706,3145YVT,Mazda,Modelo,2011
707,9565FRH,Fiat,Modelo,2022
708,6471ZNG,Renault,Scenic,2018
709,1985XWV,Audi,Modelo,2018
710,6422GNJ,Toyota,C-HR,2018
711,2353LVN,Seat,Arona,2023
712,4737BBM,Volkswagen,Polo,2019
713,7990HBY,Honda,Modelo,2020
714,9049NNJ,Honda,Modelo,2017
715,6159SGN,BMW,Modelo,2014
716,8985WXZ,Ford,Kuga,2023
717,8683TGD,Peugeot,Modelo,2019
718,5792SLS,Volkswagen,Golf,2023
719,2664DRJ,Ford,Mondeo,2017
720,2380LGX,Honda,Modelo,2019
721,6686HLK,Nissan,Modelo,2024
722,3630SKW,Opel,Modelo,2015
723,3259DLG,Hyundai,Modelo,2019
724,7751GHP,Peugeot,Modelo,2012
725,9467HDK,Toyota,C-HR,2018
726,9506FWC,Fiat,Modelo,2017
727,5806FGL,BMW,Modelo,2023
728,3932YWS,Hyundai,Modelo,2012
729,9115SPK,Opel,Modelo,2016
730,1490BFP,Audi,Modelo,2019
731,6123WCV,Kia,Modelo,2020
732,5454MJN,Peugeot,Modelo,2016
733,7833NWL,Volkswagen,Polo,2015
734,4589VLB,Ford,Kuga,2020
735,5101YLD,Kia,Modelo,2014
736,5899VSV,Nissan,Modelo,2021
737,4946JCD,Toyota,Yaris,2018
738,8797KPJ,BMW,Modelo,2014
739,8605WBJ,Toyota,C-HR,2018
740,1721NGX,Toyota,Yaris,2010
741,9037HKF,BMW,Modelo,2012
742,5709JMD,Seat,Arona,2013
743,8973MYW,Volkswagen,Tiguan,2020
744,9930GVN,Opel,Modelo,2012
745,2365SJY,Kia,Modelo,2011
746,2819FWY,BMW,Modelo,2024
747,2355WDL,Nissan,Modelo,2017
748,8902ZYK,Volkswagen,Golf,2015
749,7744VNL,Fiat,Modelo,2016
750,3233XCW,Kia,Modelo,2021
751,1886CTN,Mazda,Modelo,2022
752,1474PYG,Kia,Modelo,2012
753,4340JZC,Nissan,Modelo,2014
754,4485WVZ,Nissan,Modelo,2012
755,9610YTC,Kia,Modelo,2010
756,5593KZC,Citroen,Modelo,2024
757,5613ZPN,Seat,Ateca,2013
758,3285XBK,Ford,Focus,2011
759,4605KRJ,Opel,Modelo,2021
760,2361SVG,Opel,Modelo,2020
761,2547MWK,Citroen,Modelo,2014
762,2798PNC,BMW,Modelo,2011
763,2891VMT,Ford,Kuga,2013
764,5755YKX,Mazda,Modelo,2017
765,5813VPY,Kia,Modelo,2023
766,9750MLJ,Fiat,Modelo,2024
767,7588TFB,Kia,Modelo,2015
768,9444FWN,Ford,Kuga,2021
769,2949DXH,BMW,Modelo,2024
770,8152HCL,Audi,Modelo,2013
771,3826VZT,Renault,Captur,2010
772,5102PXS,Toyota,C-HR,2021
773,8317NSR,Peugeot,Modelo,2010
774,7227WDB,Fiat,Modelo,2019
775,4326NXW,Toyota,C-HR,2015
776,3087GBD,Volkswagen,Passat,2017
777,5912BWZ,Mazda,Modelo,2020
778,2796RXW,Renault,Clio,2010
779,3220XLL,Renault,Clio,2020
780,4901YLG,Ford,Kuga,2018
781,7884FHX,Audi,Modelo,2023
782,1671KNC,Ford,Focus,2012
783,3663XVM,Toyota,C-HR,2017
784,1501YRN,Seat,Ibiza,2024
785,2478CKP,Audi,Modelo,2021
786,7030VRD,Fiat,Modelo,2016
787,5362ZSX,Renault,Scenic,2019
788,4272DGL,Honda,Modelo,2020
789,7225DSD,Seat,Leon,2024
790,6544ZPY,Renault,Captur,2016
791,8862TML,Volkswagen,Tiguan,2020
792,8684VKB,Seat,Arona,2023
793,4951FJK,Mazda,Modelo,2011
794,3448WLZ,BMW,Modelo,2023
795,4914ZVS,Mazda,Modelo,2011
796,6683SZY,Opel,Modelo,2019
797,8534DZZ,Audi,Modelo,2020
798,7059JTD,Citroen,Modelo,2017
799,5307YLM,Mazda,Modelo,2015
800,9658BWN,Seat,Arona,2020
801,5685VRC,Volkswagen,Golf,2013
802,8371HLC,Kia,Modelo,2019
803,8865YMX,Ford,Fiesta,2013
804,7051MPJ,Peugeot,Modelo,2023
805,8085YKK,Honda,Modelo,2015
806,8683SMZ,Renault,Clio,2022
807,2037JDF,Ford,Kuga,2021
808,2638KDG,Audi,Modelo,2023
809,3105CFG,Toyota,C-HR,2014
810,6241TFW,Seat,Leon,2010
811,3114DVR,Citroen,Modelo,2012
812,6808MWP,Fiat,Modelo,2022
813,2410PZK,Peugeot,Modelo,2017
814,4749TTV,Fiat,Modelo,2018
815,9189CWZ,Mazda,Modelo,2011
816,9503SYX,Ford,Kuga,2022
817,5915GWM,Honda,Modelo,2011
818,4656KJC,Fiat,Modelo,2020
819,4753LJB,Seat,Ateca,2018
820,5039HTH,Audi,Modelo,2011
821,8975CXK,Fiat,Modelo,2019
822,4215SKS,Mazda,Modelo,2022
823,7891CVM,Volkswagen,Tiguan,2024
824,9318DRB,Seat,Arona,2019
825,7696HGL,Opel,Modelo,2016
826,4235WCP,Fiat,Modelo,2018
827,9914KMV,Kia,Modelo,2019
828,8935RPF,Renault,Captur,2024
829,3507GRV,Volkswagen,Golf,2019
830,5273LBP,Nissan,Modelo,2016
831,2810GPM,Peugeot,Modelo,2011
832,5182CMJ,Honda,Modelo,2020
833,9128NCM,Kia,Modelo,2021
834,8964HVD,Citroen,Modelo,2022
835,3925PZF,BMW,Modelo,2023
836,3461XJT,Renault,Megane,2015
837,7330GJD,Opel,Modelo,2017
838,7233DNR,Peugeot,Modelo,2023
839,2092CXC,Nissan,Modelo,2018
840,6685LKH,BMW,Modelo,2024
841,7394FWR,Audi,Modelo,2023
842,2501WKW,Volkswagen,Golf,2022
843,1116PFR,BMW,Modelo,2023
844,5841HPP,Seat,Ateca,2024
845,9603MFG,Kia,Modelo,2015
846,8764ZJV,Mazda,Modelo,2014
847,2963NPM,Kia,Modelo,2012
848,7972ZCX,Mazda,Modelo,2020
849,6424TJK,Seat,Ateca,2014
850,2861XGF,Volkswagen,Golf,2016
851,9129KLG,Citroen,Modelo,2020
852,6697SZB,Fiat,Modelo,2010
853,4092NTN,BMW,Modelo,2020
854,7790BGL,Ford,Kuga,2023
855,7913KFN,Toyota,Corolla,2014
856,8331HNH,Seat,Leon,2010
857,2686NPG,Citroen,Modelo,2010
858,6270VLH,Fiat,Modelo,2021
859,8784CYK,Peugeot,Modelo,2018
860,5475JGF,Volkswagen,Polo,2013
861,4238BYW,Volkswagen,Polo,2016
862,8428FHV,Citroen,Modelo,2012
863,8782KDH,BMW,Modelo,2021
864,8296CYD,BMW,Modelo,2014
865,4500DNN,Seat,Leon,2016
866,1398XXV,Toyota,RAV4,2022
867,9460XZF,Nissan,Modelo,2021
868,7058XRD,Mazda,Modelo,2013
869,4708RPX,Citroen,Modelo,2011
870,7785TTR,Toyota,RAV4,2012
871,5448TGL,Hyundai,Modelo,2012
872,1619KTB,Peugeot,Modelo,2015
873,3071ZXD,Mazda,Modelo,2018
874,6767BJT,Nissan,Modelo,2024
875,4426STB,Nissan,Modelo,2017
876,7661LJM,Audi,Modelo,2012
877,8388SYK,Nissan,Modelo,2014
878,8176VMY,Toyota,Yaris,2012
879,6784HHY,Renault,Captur,2016
880,6319PRC,Audi,Modelo,2013
881,1343BWZ,Renault,Clio,2024
882,2659DYC,Renault,Scenic,2011
883,1277GPM,Mazda,Modelo,2020
884,2683BCB,Kia,Modelo,2022
885,2597RKH,Hyundai,Modelo,2016
886,4903FNM,Volkswagen,Passat,2016
887,3181YRW,Fiat,Modelo,2022
888,1711NVD,Ford,Focus,2021
889,1251HFZ,Renault,Clio,2021
890,6314PKV,Seat,Ateca,2013
891,6185XWV,BMW,Modelo,2017
892,5705WSR,Ford,Focus,2020
893,7625NYP,Citroen,Modelo,2017
894,9629TFK,Renault,Megane,2020
895,9845FTR,Renault,Megane,2023
896,2758GPT,Hyundai,Modelo,2023
897,2030WCG,Hyundai,Modelo,2021
898,8058CPH,BMW,Modelo,2024
899,8145MGD,Peugeot,Modelo,2015
900,3192FFR,Honda,Modelo,2018
901,3690RJZ,Citroen,Modelo,2017
902,7640ZLS,Mazda,Modelo,2021
903,1595CHZ,Kia,Modelo,2015
904,9303FTR,Mazda,Modelo,2015
905,1022LWR,Hyundai,Modelo,2012
906,6388PMG,Fiat,Modelo,2020
907,7020ZRS,Kia,Modelo,2012
908,7537VZH,Citroen,Modelo,2015
909,9763NLP,Opel,Modelo,2014
910,3125RND,Ford,Focus,2018
911,5139ZPH,Opel,Modelo,2011
912,3707HCT,Nissan,Modelo,2012
913,5772MHR,Kia,Modelo,2022
914,7011CDB,Mazda,Modelo,2012
915,4894VLC,Citroen,Modelo,2022
916,4852BXV,Audi,Modelo,2018
917,6778NKL,Citroen,Modelo,2014
918,7931TWS,Opel,Modelo,2024
919,5754MMM,Renault,Captur,2011
920,9661YHZ,Audi,Modelo,2018
921,5315BHL,Fiat,Modelo,2018
922,3969XMZ,Citroen,Modelo,2017
923,3119VHY,Hyundai,Modelo,2018
924,2464TML,Volkswagen,Passat,2010
925,7386WCF,Opel,Modelo,2012
926,2637YZP,Peugeot,Modelo,2017
927,7983MFG,Renault,Captur,2022
928,8462FVN,Seat,Leon,2010
929,2006PHS,Hyundai,Modelo,2011
930,7825YML,Kia,Modelo,2011
931,9486VWP,Honda,Modelo,2013
932,8490FGP,Mazda,Modelo,2022
933,9819WKP,Hyundai,Modelo,2020
934,2079DGT,Volkswagen,Golf,2020
935,2678DHZ,Kia,Modelo,2021
936,4000FDC,Peugeot,Modelo,2010
937,9814VYM,Mazda,Modelo,2019
938,4563KMN,Peugeot,Modelo,2023
939,8910NJN,Honda,Modelo,2010
940,8990XGY,Renault,Clio,2022
941,5447BZK,Peugeot,Modelo,2022
942,9018XLR,Honda,Modelo,2015
943,2733DSN,Volkswagen,Passat,2013
944,4139WBH,Honda,Modelo,2018
945,9162XMJ,Kia,Modelo,2011
946,5215GPC,Nissan,Modelo,2024
947,3364NDG,Citroen,Modelo,2016
948,9993DTV,Audi,Modelo,2023
949,4745JFK,Hyundai,Modelo,2015
950,9193FFT,Seat,Ibiza,2022
951,5222WLZ,Toyota,Yaris,2022
952,7530SZX,Seat,Ateca,2010
953,5072XMZ,Audi,Modelo,2010
954,3773SBX,Mazda,Modelo,2019
955,7567MLV,Citroen,Modelo,2017
956,4570RBX,Mazda,Modelo,2011
957,9591NCR,Volkswagen,Tiguan,2016
958,3370VWP,Audi,Modelo,2016
959,8038ZNZ,Seat,Arona,2012
960,9956PZS,Kia,Modelo,2012
961,8714WXW,Ford,Mondeo,2023
962,5787FDL,Hyundai,Modelo,2024
963,9622RGT,Peugeot,Modelo,2013
964,2060NLV,BMW,Modelo,2020
965,6058MSW,Citroen,Modelo,2017
966,3397HTR,Volkswagen,Golf,2021
967,7390LLV,Nissan,Modelo,2017
968,8950NVK,Mazda,Modelo,2019
969,6221RVD,Volkswagen,Polo,2014
970,6919CKZ,Opel,Modelo,2012
971,3836CFR,Seat,Ateca,2013
972,8118XDW,Kia,Modelo,2014
973,3426HGC,Fiat,Modelo,2014
974,4507LST,Seat,Ateca,2012
975,7362LGS,Audi,Modelo,2014
976,3800BDN,Audi,Modelo,2011
977,1700NPR,Mazda,Modelo,2024
978,9734YCN,Volkswagen,Passat,2011
979,2792MRD,Opel,Modelo,2024
980,1841MDC,Nissan,Modelo,2022
981,5642RFH,Honda,Modelo,2012
982,4965RBD,Seat,Ateca,2023
983,8735MLP,Renault,Megane,2022
984,8974KHR,Audi,Modelo,2023
985,3155PXY,Fiat,Modelo,2019
986,4013YVW,Toyota,C-HR,2016
987,9188PLV,BMW,Modelo,2020
988,8287DLB,Mazda,Modelo,2010
989,5823SMC,Kia,Modelo,2018
990,9356FNP,Renault,Scenic,2021
991,5407ZHP,Mazda,Modelo,2021
992,5578FNV,Peugeot,Modelo,2021
993,1059GFG,Peugeot,Modelo,2021
994,5108YHC,BMW,Modelo,2014
995,6210TPF,BMW,Modelo,2021
996,2539ZSF,Volkswagen,Polo,2018
997,2744CGF,Citroen,Modelo,2022
998,3309NMG,BMW,Modelo,2023
999,5206XNG,Hyundai,Modelo,2023
1000,9868RRB,Ford,Fiesta,2011
